Country,Province,Location,Confirmed,Deaths,Recovered,Active,Timestep,Date
Afghanistan,,,1,0,0,1,33,2020-02-24
Afghanistan,,,1,0,0,1,34,2020-02-25
Afghanistan,,,1,0,0,1,35,2020-02-26
Afghanistan,,,1,0,0,1,36,2020-02-27
Afghanistan,,,1,0,0,1,37,2020-02-28
Afghanistan,,,1,0,0,1,38,2020-02-29
Afghanistan,,,1,0,0,1,39,2020-03-01
Afghanistan,,,1,0,0,1,40,2020-03-02
Afghanistan,,,1,0,0,1,41,2020-03-03
Afghanistan,,,1,0,0,1,42,2020-03-04
Afghanistan,,,1,0,0,1,43,2020-03-05
Afghanistan,,,1,0,0,1,44,2020-03-06
Afghanistan,,,1,0,0,1,45,2020-03-07
Afghanistan,,,4,0,0,4,46,2020-03-08
Afghanistan,,,4,0,0,4,47,2020-03-09
Afghanistan,,,5,0,0,5,48,2020-03-10
Afghanistan,,,7,0,0,7,49,2020-03-11
Afghanistan,,,7,0,0,7,50,2020-03-12
Afghanistan,,,7,0,0,7,51,2020-03-13
Afghanistan,,,11,0,0,11,52,2020-03-14
Afghanistan,,,16,0,0,16,53,2020-03-15
Afghanistan,,,21,0,1,20,54,2020-03-16
Afghanistan,,,22,0,1,21,55,2020-03-17
Afghanistan,,,22,0,1,21,56,2020-03-18
Albania,,,2,0,0,2,47,2020-03-09
Albania,,,10,0,0,10,48,2020-03-10
Albania,,,12,1,0,11,49,2020-03-11
Albania,,,23,1,0,22,50,2020-03-12
Albania,,,33,1,0,32,51,2020-03-13
Albania,,,38,1,0,37,52,2020-03-14
Albania,,,42,1,0,41,53,2020-03-15
Albania,,,51,1,0,50,54,2020-03-16
Albania,,,55,1,0,54,55,2020-03-17
Albania,,,59,2,0,57,56,2020-03-18
Algeria,,,1,0,0,1,34,2020-02-25
Algeria,,,1,0,0,1,35,2020-02-26
Algeria,,,1,0,0,1,36,2020-02-27
Algeria,,,1,0,0,1,37,2020-02-28
Algeria,,,1,0,0,1,38,2020-02-29
Algeria,,,1,0,0,1,39,2020-03-01
Algeria,,,3,0,0,3,40,2020-03-02
Algeria,,,5,0,0,5,41,2020-03-03
Algeria,,,12,0,0,12,42,2020-03-04
Algeria,,,12,0,0,12,43,2020-03-05
Algeria,,,17,0,0,17,44,2020-03-06
Algeria,,,17,0,0,17,45,2020-03-07
Algeria,,,19,0,0,19,46,2020-03-08
Algeria,,,20,0,0,20,47,2020-03-09
Algeria,,,20,0,0,20,48,2020-03-10
Algeria,,,20,0,0,20,49,2020-03-11
Algeria,,,24,1,8,15,50,2020-03-12
Algeria,,,26,2,8,16,51,2020-03-13
Algeria,,,37,3,12,22,52,2020-03-14
Algeria,,,48,4,12,32,53,2020-03-15
Algeria,,,54,4,12,38,54,2020-03-16
